case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1000.nii.gz,0.15,2,2,0,0.5,1.0
Liver_Lesions_1000.nii.gz,0.2,2,2,0,0.5,1.0
Liver_Lesions_1000.nii.gz,0.5,2,2,0,0.5,1.0
Liver_Lesions_1002.nii.gz,0.15,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1002.nii.gz,0.2,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1002.nii.gz,0.5,5,5,4,0.5,0.5555555555555556
Liver_Lesions_1003.nii.gz,0.15,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1003.nii.gz,0.2,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1003.nii.gz,0.5,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1008.nii.gz,0.15,4,1,0,0.8,1.0
Liver_Lesions_1008.nii.gz,0.2,3,2,1,0.6,0.75
Liver_Lesions_1008.nii.gz,0.5,3,2,1,0.6,0.75
Liver_Lesions_1017.nii.gz,0.15,0,1,3,0.0,0.0
Liver_Lesions_1017.nii.gz,0.2,0,1,3,0.0,0.0
Liver_Lesions_1017.nii.gz,0.5,0,1,3,0.0,0.0
Liver_Lesions_1020.nii.gz,0.15,1,3,0,0.25,1.0
Liver_Lesions_1020.nii.gz,0.2,1,3,0,0.25,1.0
Liver_Lesions_1020.nii.gz,0.5,1,3,0,0.25,1.0
Liver_Lesions_1022.nii.gz,0.15,12,7,16,0.631578947368421,0.42857142857142855
Liver_Lesions_1022.nii.gz,0.2,12,7,16,0.631578947368421,0.42857142857142855
Liver_Lesions_1022.nii.gz,0.5,6,13,22,0.3157894736842105,0.21428571428571427
Liver_Lesions_1024.nii.gz,0.15,8,2,0,0.8,1.0
Liver_Lesions_1024.nii.gz,0.2,8,2,0,0.8,1.0
Liver_Lesions_1024.nii.gz,0.5,7,3,1,0.7,0.875
Liver_Lesions_1030.nii.gz,0.15,1,4,0,0.2,1.0
Liver_Lesions_1030.nii.gz,0.2,1,4,0,0.2,1.0
Liver_Lesions_1030.nii.gz,0.5,1,4,0,0.2,1.0
Liver_Lesions_1033.nii.gz,0.15,7,7,2,0.5,0.7777777777777778
Liver_Lesions_1033.nii.gz,0.2,7,7,2,0.5,0.7777777777777778
Liver_Lesions_1033.nii.gz,0.5,2,12,7,0.14285714285714285,0.2222222222222222
Liver_Lesions_1056.nii.gz,0.15,7,4,12,0.6363636363636364,0.3684210526315789
Liver_Lesions_1056.nii.gz,0.2,7,4,12,0.6363636363636364,0.3684210526315789
Liver_Lesions_1056.nii.gz,0.5,6,5,13,0.5454545454545454,0.3157894736842105
Liver_Lesions_1070.nii.gz,0.15,4,0,0,1.0,1.0
Liver_Lesions_1070.nii.gz,0.2,4,0,0,1.0,1.0
Liver_Lesions_1070.nii.gz,0.5,3,1,1,0.75,0.75
Liver_Lesions_1072.nii.gz,0.15,2,4,1,0.3333333333333333,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.2,2,4,1,0.3333333333333333,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.5,2,4,1,0.3333333333333333,0.6666666666666666
Liver_Lesions_1073.nii.gz,0.15,5,2,0,0.7142857142857143,1.0
Liver_Lesions_1073.nii.gz,0.2,5,2,0,0.7142857142857143,1.0
Liver_Lesions_1073.nii.gz,0.5,4,3,1,0.5714285714285714,0.8
Liver_Lesions_1076.nii.gz,0.15,2,2,1,0.5,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.2,2,2,1,0.5,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.5,2,2,1,0.5,0.6666666666666666
Liver_Lesions_1087.nii.gz,0.15,9,5,13,0.6428571428571429,0.4090909090909091
Liver_Lesions_1087.nii.gz,0.2,9,5,13,0.6428571428571429,0.4090909090909091
Liver_Lesions_1087.nii.gz,0.5,7,7,15,0.5,0.3181818181818182
Liver_Lesions_1092.nii.gz,0.15,3,1,0,0.75,1.0
Liver_Lesions_1092.nii.gz,0.2,3,1,0,0.75,1.0
Liver_Lesions_1092.nii.gz,0.5,3,1,0,0.75,1.0
Liver_Lesions_1100.nii.gz,0.15,1,4,2,0.2,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.2,1,4,2,0.2,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.5,0,5,3,0.0,0.0
Liver_Lesions_1101.nii.gz,0.15,15,5,4,0.75,0.7894736842105263
Liver_Lesions_1101.nii.gz,0.2,14,6,5,0.7,0.7368421052631579
Liver_Lesions_1101.nii.gz,0.5,12,8,7,0.6,0.631578947368421
Liver_Lesions_1104.nii.gz,0.15,3,7,1,0.3,0.75
Liver_Lesions_1104.nii.gz,0.2,3,7,1,0.3,0.75
Liver_Lesions_1104.nii.gz,0.5,3,7,1,0.3,0.75
Liver_Lesions_1111.nii.gz,0.15,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1111.nii.gz,0.2,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1111.nii.gz,0.5,1,2,1,0.3333333333333333,0.5
Liver_Lesions_1115.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1127.nii.gz,0.15,0,3,0,0.0,
Liver_Lesions_1127.nii.gz,0.2,0,3,0,0.0,
