case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1000.nii.gz,0.15,2,2,0,0.5,1.0
Liver_Lesions_1000.nii.gz,0.2,2,2,0,0.5,1.0
Liver_Lesions_1000.nii.gz,0.5,1,3,1,0.25,0.5
Liver_Lesions_1002.nii.gz,0.15,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1002.nii.gz,0.2,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1002.nii.gz,0.5,4,6,5,0.4,0.4444444444444444
Liver_Lesions_1003.nii.gz,0.15,4,3,1,0.5714285714285714,0.8
Liver_Lesions_1003.nii.gz,0.2,4,3,1,0.5714285714285714,0.8
Liver_Lesions_1003.nii.gz,0.5,4,3,1,0.5714285714285714,0.8
Liver_Lesions_1008.nii.gz,0.15,3,1,1,0.75,0.75
Liver_Lesions_1008.nii.gz,0.2,3,1,1,0.75,0.75
Liver_Lesions_1008.nii.gz,0.5,3,1,1,0.75,0.75
Liver_Lesions_1017.nii.gz,0.15,0,1,3,0.0,0.0
Liver_Lesions_1017.nii.gz,0.2,0,1,3,0.0,0.0
Liver_Lesions_1017.nii.gz,0.5,0,1,3,0.0,0.0
Liver_Lesions_1020.nii.gz,0.15,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1020.nii.gz,0.2,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1020.nii.gz,0.5,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1022.nii.gz,0.15,10,7,18,0.5882352941176471,0.35714285714285715
Liver_Lesions_1022.nii.gz,0.2,9,8,19,0.5294117647058824,0.32142857142857145
Liver_Lesions_1022.nii.gz,0.5,5,12,23,0.29411764705882354,0.17857142857142858
Liver_Lesions_1024.nii.gz,0.15,7,2,1,0.7777777777777778,0.875
Liver_Lesions_1024.nii.gz,0.2,7,2,1,0.7777777777777778,0.875
Liver_Lesions_1024.nii.gz,0.5,7,2,1,0.7777777777777778,0.875
Liver_Lesions_1030.nii.gz,0.15,1,6,0,0.14285714285714285,1.0
Liver_Lesions_1030.nii.gz,0.2,1,6,0,0.14285714285714285,1.0
Liver_Lesions_1030.nii.gz,0.5,1,6,0,0.14285714285714285,1.0
Liver_Lesions_1033.nii.gz,0.15,6,18,3,0.25,0.6666666666666666
Liver_Lesions_1033.nii.gz,0.2,6,18,3,0.25,0.6666666666666666
Liver_Lesions_1033.nii.gz,0.5,4,20,5,0.16666666666666666,0.4444444444444444
Liver_Lesions_1056.nii.gz,0.15,6,4,13,0.6,0.3157894736842105
Liver_Lesions_1056.nii.gz,0.2,6,4,13,0.6,0.3157894736842105
Liver_Lesions_1056.nii.gz,0.5,5,5,14,0.5,0.2631578947368421
Liver_Lesions_1070.nii.gz,0.15,4,4,0,0.5,1.0
Liver_Lesions_1070.nii.gz,0.2,4,4,0,0.5,1.0
Liver_Lesions_1070.nii.gz,0.5,3,5,1,0.375,0.75
Liver_Lesions_1072.nii.gz,0.15,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.2,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.5,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1073.nii.gz,0.15,5,2,0,0.7142857142857143,1.0
Liver_Lesions_1073.nii.gz,0.2,5,2,0,0.7142857142857143,1.0
Liver_Lesions_1073.nii.gz,0.5,5,2,0,0.7142857142857143,1.0
Liver_Lesions_1076.nii.gz,0.15,2,4,1,0.3333333333333333,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.2,2,4,1,0.3333333333333333,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.5,2,4,1,0.3333333333333333,0.6666666666666666
Liver_Lesions_1087.nii.gz,0.15,7,7,15,0.5,0.3181818181818182
Liver_Lesions_1087.nii.gz,0.2,7,7,15,0.5,0.3181818181818182
Liver_Lesions_1087.nii.gz,0.5,6,8,16,0.42857142857142855,0.2727272727272727
Liver_Lesions_1092.nii.gz,0.15,3,2,0,0.6,1.0
Liver_Lesions_1092.nii.gz,0.2,3,2,0,0.6,1.0
Liver_Lesions_1092.nii.gz,0.5,3,2,0,0.6,1.0
Liver_Lesions_1100.nii.gz,0.15,1,3,2,0.25,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.2,1,3,2,0.25,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.5,0,4,3,0.0,0.0
Liver_Lesions_1101.nii.gz,0.15,14,7,5,0.6666666666666666,0.7368421052631579
Liver_Lesions_1101.nii.gz,0.2,14,7,5,0.6666666666666666,0.7368421052631579
Liver_Lesions_1101.nii.gz,0.5,12,9,7,0.5714285714285714,0.631578947368421
Liver_Lesions_1104.nii.gz,0.15,3,4,1,0.42857142857142855,0.75
Liver_Lesions_1104.nii.gz,0.2,3,4,1,0.42857142857142855,0.75
Liver_Lesions_1104.nii.gz,0.5,2,5,2,0.2857142857142857,0.5
Liver_Lesions_1111.nii.gz,0.15,2,6,0,0.25,1.0
Liver_Lesions_1111.nii.gz,0.2,1,7,1,0.125,0.5
Liver_Lesions_1111.nii.gz,0.5,1,7,1,0.125,0.5
Liver_Lesions_1115.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1127.nii.gz,0.15,0,3,0,0.0,
