case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1000.nii.gz,0.15,2,4,0,0.3333333333333333,1.0
Liver_Lesions_1000.nii.gz,0.2,2,4,0,0.3333333333333333,1.0
Liver_Lesions_1000.nii.gz,0.5,1,5,1,0.16666666666666666,0.5
Liver_Lesions_1002.nii.gz,0.15,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1002.nii.gz,0.2,5,5,4,0.5,0.5555555555555556
Liver_Lesions_1002.nii.gz,0.5,4,6,5,0.4,0.4444444444444444
Liver_Lesions_1003.nii.gz,0.15,4,1,1,0.8,0.8
Liver_Lesions_1003.nii.gz,0.2,4,1,1,0.8,0.8
Liver_Lesions_1003.nii.gz,0.5,4,1,1,0.8,0.8
Liver_Lesions_1008.nii.gz,0.15,3,4,1,0.42857142857142855,0.75
Liver_Lesions_1008.nii.gz,0.2,3,4,1,0.42857142857142855,0.75
Liver_Lesions_1008.nii.gz,0.5,3,4,1,0.42857142857142855,0.75
Liver_Lesions_1017.nii.gz,0.15,0,1,3,0.0,0.0
Liver_Lesions_1017.nii.gz,0.2,0,1,3,0.0,0.0
Liver_Lesions_1017.nii.gz,0.5,0,1,3,0.0,0.0
Liver_Lesions_1020.nii.gz,0.15,1,3,0,0.25,1.0
Liver_Lesions_1020.nii.gz,0.2,1,3,0,0.25,1.0
Liver_Lesions_1020.nii.gz,0.5,1,3,0,0.25,1.0
Liver_Lesions_1022.nii.gz,0.15,12,13,16,0.48,0.42857142857142855
Liver_Lesions_1022.nii.gz,0.2,12,13,16,0.48,0.42857142857142855
Liver_Lesions_1022.nii.gz,0.5,4,21,24,0.16,0.14285714285714285
Liver_Lesions_1024.nii.gz,0.15,8,1,0,0.8888888888888888,1.0
Liver_Lesions_1024.nii.gz,0.2,8,1,0,0.8888888888888888,1.0
Liver_Lesions_1024.nii.gz,0.5,8,1,0,0.8888888888888888,1.0
Liver_Lesions_1030.nii.gz,0.15,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1030.nii.gz,0.2,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1030.nii.gz,0.5,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1033.nii.gz,0.15,7,13,2,0.35,0.7777777777777778
Liver_Lesions_1033.nii.gz,0.2,6,14,3,0.3,0.6666666666666666
Liver_Lesions_1033.nii.gz,0.5,3,17,6,0.15,0.3333333333333333
Liver_Lesions_1056.nii.gz,0.15,9,3,10,0.75,0.47368421052631576
Liver_Lesions_1056.nii.gz,0.2,9,3,10,0.75,0.47368421052631576
Liver_Lesions_1056.nii.gz,0.5,8,4,11,0.6666666666666666,0.42105263157894735
Liver_Lesions_1070.nii.gz,0.15,4,2,0,0.6666666666666666,1.0
Liver_Lesions_1070.nii.gz,0.2,4,2,0,0.6666666666666666,1.0
Liver_Lesions_1070.nii.gz,0.5,4,2,0,0.6666666666666666,1.0
Liver_Lesions_1072.nii.gz,0.15,2,2,1,0.5,0.6666666666666666
