case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1000.nii.gz,0.15,1,0,1,1.0,0.5
Liver_Lesions_1000.nii.gz,0.2,1,0,1,1.0,0.5
Liver_Lesions_1000.nii.gz,0.5,1,0,1,1.0,0.5
Liver_Lesions_1002.nii.gz,0.15,5,5,4,0.5,0.5555555555555556
Liver_Lesions_1002.nii.gz,0.2,5,5,4,0.5,0.5555555555555556
Liver_Lesions_1002.nii.gz,0.5,3,7,6,0.3,0.3333333333333333
Liver_Lesions_1003.nii.gz,0.15,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1003.nii.gz,0.2,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1003.nii.gz,0.5,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1008.nii.gz,0.15,4,1,0,0.8,1.0
Liver_Lesions_1008.nii.gz,0.2,3,2,1,0.6,0.75
Liver_Lesions_1008.nii.gz,0.5,3,2,1,0.6,0.75
Liver_Lesions_1017.nii.gz,0.15,0,0,3,,0.0
Liver_Lesions_1017.nii.gz,0.2,0,0,3,,0.0
Liver_Lesions_1017.nii.gz,0.5,0,0,3,,0.0
Liver_Lesions_1020.nii.gz,0.15,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1020.nii.gz,0.2,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1020.nii.gz,0.5,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1022.nii.gz,0.15,10,7,18,0.5882352941176471,0.35714285714285715
Liver_Lesions_1022.nii.gz,0.2,10,7,18,0.5882352941176471,0.35714285714285715
Liver_Lesions_1022.nii.gz,0.5,6,11,22,0.35294117647058826,0.21428571428571427
Liver_Lesions_1024.nii.gz,0.15,8,2,0,0.8,1.0
Liver_Lesions_1024.nii.gz,0.2,8,2,0,0.8,1.0
Liver_Lesions_1024.nii.gz,0.5,8,2,0,0.8,1.0
Liver_Lesions_1030.nii.gz,0.15,1,1,0,0.5,1.0
Liver_Lesions_1030.nii.gz,0.2,1,1,0,0.5,1.0
Liver_Lesions_1030.nii.gz,0.5,1,1,0,0.5,1.0
Liver_Lesions_1033.nii.gz,0.15,6,2,3,0.75,0.6666666666666666
Liver_Lesions_1033.nii.gz,0.2,6,2,3,0.75,0.6666666666666666
Liver_Lesions_1033.nii.gz,0.5,4,4,5,0.5,0.4444444444444444
Liver_Lesions_1056.nii.gz,0.15,8,4,11,0.6666666666666666,0.42105263157894735
Liver_Lesions_1056.nii.gz,0.2,8,4,11,0.6666666666666666,0.42105263157894735
Liver_Lesions_1056.nii.gz,0.5,7,5,12,0.5833333333333334,0.3684210526315789
Liver_Lesions_1070.nii.gz,0.15,4,0,0,1.0,1.0
Liver_Lesions_1070.nii.gz,0.2,4,0,0,1.0,1.0
Liver_Lesions_1070.nii.gz,0.5,3,1,1,0.75,0.75
Liver_Lesions_1072.nii.gz,0.15,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.2,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.5,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1073.nii.gz,0.15,5,1,0,0.8333333333333334,1.0
Liver_Lesions_1073.nii.gz,0.2,5,1,0,0.8333333333333334,1.0
Liver_Lesions_1073.nii.gz,0.5,5,1,0,0.8333333333333334,1.0
Liver_Lesions_1076.nii.gz,0.15,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.2,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.5,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1087.nii.gz,0.15,7,3,15,0.7,0.3181818181818182
Liver_Lesions_1087.nii.gz,0.2,7,3,15,0.7,0.3181818181818182
Liver_Lesions_1087.nii.gz,0.5,7,3,15,0.7,0.3181818181818182
Liver_Lesions_1092.nii.gz,0.15,3,1,0,0.75,1.0
Liver_Lesions_1092.nii.gz,0.2,3,1,0,0.75,1.0
Liver_Lesions_1092.nii.gz,0.5,3,1,0,0.75,1.0
Liver_Lesions_1100.nii.gz,0.15,1,2,2,0.3333333333333333,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.2,1,2,2,0.3333333333333333,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.5,0,3,3,0.0,0.0
Liver_Lesions_1101.nii.gz,0.15,15,2,4,0.8823529411764706,0.7894736842105263
Liver_Lesions_1101.nii.gz,0.2,14,3,5,0.8235294117647058,0.7368421052631579
Liver_Lesions_1101.nii.gz,0.5,11,6,8,0.6470588235294118,0.5789473684210527
Liver_Lesions_1104.nii.gz,0.15,3,3,1,0.5,0.75
Liver_Lesions_1104.nii.gz,0.2,2,4,2,0.3333333333333333,0.5
Liver_Lesions_1104.nii.gz,0.5,2,4,2,0.3333333333333333,0.5
Liver_Lesions_1111.nii.gz,0.15,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1111.nii.gz,0.2,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1111.nii.gz,0.5,1,2,1,0.3333333333333333,0.5
Liver_Lesions_1115.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1127.nii.gz,0.15,0,2,0,0.0,
Liver_Lesions_1127.nii.gz,0.2,0,2,0,0.0,
Liver_Lesions_1127.nii.gz,0.5,0,2,0,0.0,
