case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1011.nii.gz,0.15,1,4,0,0.2,1.0
Liver_Lesions_1011.nii.gz,0.2,1,4,0,0.2,1.0
Liver_Lesions_1011.nii.gz,0.5,1,4,0,0.2,1.0
Liver_Lesions_1012.nii.gz,0.15,12,1,2,0.9230769230769231,0.8571428571428571
Liver_Lesions_1012.nii.gz,0.2,12,1,2,0.9230769230769231,0.8571428571428571
Liver_Lesions_1012.nii.gz,0.5,10,3,4,0.7692307692307693,0.7142857142857143
Liver_Lesions_1013.nii.gz,0.15,9,0,0,1.0,1.0
Liver_Lesions_1013.nii.gz,0.2,9,0,0,1.0,1.0
Liver_Lesions_1013.nii.gz,0.5,9,0,0,1.0,1.0
Liver_Lesions_1018.nii.gz,0.15,0,3,0,0.0,
Liver_Lesions_1018.nii.gz,0.2,0,3,0,0.0,
Liver_Lesions_1018.nii.gz,0.5,0,3,0,0.0,
Liver_Lesions_1021.nii.gz,0.15,0,1,0,0.0,
Liver_Lesions_1021.nii.gz,0.2,0,1,0,0.0,
Liver_Lesions_1021.nii.gz,0.5,0,1,0,0.0,
Liver_Lesions_1027.nii.gz,0.15,5,15,3,0.25,0.625
Liver_Lesions_1027.nii.gz,0.2,4,16,4,0.2,0.5
Liver_Lesions_1027.nii.gz,0.5,3,17,5,0.15,0.375
Liver_Lesions_1028.nii.gz,0.15,15,1,0,0.9375,1.0
Liver_Lesions_1028.nii.gz,0.2,14,2,1,0.875,0.9333333333333333
Liver_Lesions_1028.nii.gz,0.5,14,2,1,0.875,0.9333333333333333
Liver_Lesions_1031.nii.gz,0.15,2,4,0,0.3333333333333333,1.0
Liver_Lesions_1031.nii.gz,0.2,2,4,0,0.3333333333333333,1.0
Liver_Lesions_1031.nii.gz,0.5,1,5,1,0.16666666666666666,0.5
Liver_Lesions_1038.nii.gz,0.15,16,1,2,0.9411764705882353,0.8888888888888888
Liver_Lesions_1038.nii.gz,0.2,16,1,2,0.9411764705882353,0.8888888888888888
Liver_Lesions_1038.nii.gz,0.5,14,3,4,0.8235294117647058,0.7777777777777778
Liver_Lesions_1046.nii.gz,0.15,0,2,5,0.0,0.0
Liver_Lesions_1046.nii.gz,0.2,0,2,5,0.0,0.0
Liver_Lesions_1046.nii.gz,0.5,0,2,5,0.0,0.0
Liver_Lesions_1048.nii.gz,0.15,7,2,6,0.7777777777777778,0.5384615384615384
Liver_Lesions_1048.nii.gz,0.2,5,4,8,0.5555555555555556,0.38461538461538464
Liver_Lesions_1048.nii.gz,0.5,3,6,10,0.3333333333333333,0.23076923076923078
Liver_Lesions_1049.nii.gz,0.15,15,4,2,0.7894736842105263,0.8823529411764706
