case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1004.nii.gz,0.15,26,13,5,0.6666666666666666,0.8387096774193549
Liver_Lesions_1004.nii.gz,0.2,26,13,5,0.6666666666666666,0.8387096774193549
Liver_Lesions_1004.nii.gz,0.5,24,15,7,0.6153846153846154,0.7741935483870968
Liver_Lesions_1006.nii.gz,0.15,3,1,0,0.75,1.0
Liver_Lesions_1006.nii.gz,0.2,3,1,0,0.75,1.0
Liver_Lesions_1006.nii.gz,0.5,3,1,0,0.75,1.0
Liver_Lesions_1007.nii.gz,0.15,13,0,2,1.0,0.8666666666666667
Liver_Lesions_1007.nii.gz,0.2,13,0,2,1.0,0.8666666666666667
Liver_Lesions_1007.nii.gz,0.5,13,0,2,1.0,0.8666666666666667
Liver_Lesions_1009.nii.gz,0.15,1,1,1,0.5,0.5
Liver_Lesions_1009.nii.gz,0.2,1,1,1,0.5,0.5
Liver_Lesions_1009.nii.gz,0.5,1,1,1,0.5,0.5
Liver_Lesions_1010.nii.gz,0.15,9,6,10,0.6,0.47368421052631576
Liver_Lesions_1010.nii.gz,0.2,8,7,11,0.5333333333333333,0.42105263157894735
Liver_Lesions_1010.nii.gz,0.5,6,9,13,0.4,0.3157894736842105
Liver_Lesions_1015.nii.gz,0.15,4,0,0,1.0,1.0
Liver_Lesions_1015.nii.gz,0.2,4,0,0,1.0,1.0
Liver_Lesions_1015.nii.gz,0.5,4,0,0,1.0,1.0
Liver_Lesions_1019.nii.gz,0.15,5,3,0,0.625,1.0
Liver_Lesions_1019.nii.gz,0.2,5,3,0,0.625,1.0
Liver_Lesions_1019.nii.gz,0.5,3,5,2,0.375,0.6
Liver_Lesions_1025.nii.gz,0.15,23,16,63,0.5897435897435898,0.26744186046511625
Liver_Lesions_1025.nii.gz,0.2,22,17,64,0.5641025641025641,0.2558139534883721
Liver_Lesions_1025.nii.gz,0.5,10,29,76,0.2564102564102564,0.11627906976744186
Liver_Lesions_1029.nii.gz,0.15,3,1,0,0.75,1.0
Liver_Lesions_1029.nii.gz,0.2,3,1,0,0.75,1.0
Liver_Lesions_1029.nii.gz,0.5,3,1,0,0.75,1.0
Liver_Lesions_1032.nii.gz,0.15,2,7,2,0.2222222222222222,0.5
Liver_Lesions_1032.nii.gz,0.2,2,7,2,0.2222222222222222,0.5
Liver_Lesions_1032.nii.gz,0.5,2,7,2,0.2222222222222222,0.5
Liver_Lesions_1040.nii.gz,0.15,4,2,0,0.6666666666666666,1.0
Liver_Lesions_1040.nii.gz,0.2,4,2,0,0.6666666666666666,1.0
Liver_Lesions_1040.nii.gz,0.5,4,2,0,0.6666666666666666,1.0
Liver_Lesions_1041.nii.gz,0.15,1,6,0,0.14285714285714285,1.0
Liver_Lesions_1041.nii.gz,0.2,1,6,0,0.14285714285714285,1.0
