case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1011.nii.gz,0.15,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1011.nii.gz,0.2,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1011.nii.gz,0.5,1,5,0,0.16666666666666666,1.0
Liver_Lesions_1012.nii.gz,0.15,13,2,1,0.8666666666666667,0.9285714285714286
Liver_Lesions_1012.nii.gz,0.2,13,2,1,0.8666666666666667,0.9285714285714286
Liver_Lesions_1012.nii.gz,0.5,10,5,4,0.6666666666666666,0.7142857142857143
Liver_Lesions_1013.nii.gz,0.15,9,3,0,0.75,1.0
Liver_Lesions_1013.nii.gz,0.2,9,3,0,0.75,1.0
Liver_Lesions_1013.nii.gz,0.5,9,3,0,0.75,1.0
Liver_Lesions_1018.nii.gz,0.15,0,5,0,0.0,
Liver_Lesions_1018.nii.gz,0.2,0,5,0,0.0,
Liver_Lesions_1018.nii.gz,0.5,0,5,0,0.0,
Liver_Lesions_1021.nii.gz,0.15,0,2,0,0.0,
Liver_Lesions_1021.nii.gz,0.2,0,2,0,0.0,
Liver_Lesions_1021.nii.gz,0.5,0,2,0,0.0,
Liver_Lesions_1027.nii.gz,0.15,4,7,4,0.36363636363636365,0.5
Liver_Lesions_1027.nii.gz,0.2,4,7,4,0.36363636363636365,0.5
Liver_Lesions_1027.nii.gz,0.5,3,8,5,0.2727272727272727,0.375
Liver_Lesions_1028.nii.gz,0.15,15,1,0,0.9375,1.0
Liver_Lesions_1028.nii.gz,0.2,14,2,1,0.875,0.9333333333333333
Liver_Lesions_1028.nii.gz,0.5,14,2,1,0.875,0.9333333333333333
Liver_Lesions_1031.nii.gz,0.15,2,3,0,0.4,1.0
Liver_Lesions_1031.nii.gz,0.2,2,3,0,0.4,1.0
Liver_Lesions_1031.nii.gz,0.5,2,3,0,0.4,1.0
Liver_Lesions_1038.nii.gz,0.15,16,1,2,0.9411764705882353,0.8888888888888888
Liver_Lesions_1038.nii.gz,0.2,16,1,2,0.9411764705882353,0.8888888888888888
Liver_Lesions_1038.nii.gz,0.5,15,2,3,0.8823529411764706,0.8333333333333334
Liver_Lesions_1046.nii.gz,0.15,2,5,3,0.2857142857142857,0.4
Liver_Lesions_1046.nii.gz,0.2,2,5,3,0.2857142857142857,0.4
Liver_Lesions_1046.nii.gz,0.5,1,6,4,0.14285714285714285,0.2
Liver_Lesions_1048.nii.gz,0.15,8,2,5,0.8,0.6153846153846154
Liver_Lesions_1048.nii.gz,0.2,6,4,7,0.6,0.46153846153846156
Liver_Lesions_1048.nii.gz,0.5,4,6,9,0.4,0.3076923076923077
Liver_Lesions_1049.nii.gz,0.15,14,6,3,0.7,0.8235294117647058
Liver_Lesions_1049.nii.gz,0.2,14,6,3,0.7,0.8235294117647058
Liver_Lesions_1049.nii.gz,0.5,13,7,4,0.65,0.7647058823529411
Liver_Lesions_1062.nii.gz,0.15,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1062.nii.gz,0.2,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1062.nii.gz,0.5,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1066.nii.gz,0.15,7,5,1,0.5833333333333334,0.875
Liver_Lesions_1066.nii.gz,0.2,7,5,1,0.5833333333333334,0.875
Liver_Lesions_1066.nii.gz,0.5,7,5,1,0.5833333333333334,0.875
