case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1000.nii.gz,0.15,1,1,1,0.5,0.5
Liver_Lesions_1000.nii.gz,0.2,1,1,1,0.5,0.5
Liver_Lesions_1000.nii.gz,0.5,1,1,1,0.5,0.5
Liver_Lesions_1002.nii.gz,0.15,6,5,3,0.5454545454545454,0.6666666666666666
Liver_Lesions_1002.nii.gz,0.2,5,6,4,0.45454545454545453,0.5555555555555556
Liver_Lesions_1002.nii.gz,0.5,3,8,6,0.2727272727272727,0.3333333333333333
Liver_Lesions_1003.nii.gz,0.15,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1003.nii.gz,0.2,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1003.nii.gz,0.5,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1008.nii.gz,0.15,4,1,0,0.8,1.0
Liver_Lesions_1008.nii.gz,0.2,4,1,0,0.8,1.0
Liver_Lesions_1008.nii.gz,0.5,3,2,1,0.6,0.75
Liver_Lesions_1017.nii.gz,0.15,0,0,3,,0.0
Liver_Lesions_1017.nii.gz,0.2,0,0,3,,0.0
Liver_Lesions_1017.nii.gz,0.5,0,0,3,,0.0
Liver_Lesions_1020.nii.gz,0.15,1,1,0,0.5,1.0
Liver_Lesions_1020.nii.gz,0.2,1,1,0,0.5,1.0
Liver_Lesions_1020.nii.gz,0.5,1,1,0,0.5,1.0
Liver_Lesions_1022.nii.gz,0.15,10,7,18,0.5882352941176471,0.35714285714285715
Liver_Lesions_1022.nii.gz,0.2,10,7,18,0.5882352941176471,0.35714285714285715
Liver_Lesions_1022.nii.gz,0.5,5,12,23,0.29411764705882354,0.17857142857142858
Liver_Lesions_1024.nii.gz,0.15,8,2,0,0.8,1.0
Liver_Lesions_1024.nii.gz,0.2,8,2,0,0.8,1.0
Liver_Lesions_1024.nii.gz,0.5,8,2,0,0.8,1.0
Liver_Lesions_1030.nii.gz,0.15,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1030.nii.gz,0.2,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1030.nii.gz,0.5,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1033.nii.gz,0.15,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1033.nii.gz,0.2,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1033.nii.gz,0.5,3,7,6,0.3,0.3333333333333333
Liver_Lesions_1056.nii.gz,0.15,8,3,11,0.7272727272727273,0.42105263157894735
Liver_Lesions_1056.nii.gz,0.2,8,3,11,0.7272727272727273,0.42105263157894735
Liver_Lesions_1056.nii.gz,0.5,7,4,12,0.6363636363636364,0.3684210526315789
Liver_Lesions_1070.nii.gz,0.15,4,0,0,1.0,1.0
Liver_Lesions_1070.nii.gz,0.2,4,0,0,1.0,1.0
Liver_Lesions_1070.nii.gz,0.5,3,1,1,0.75,0.75
Liver_Lesions_1072.nii.gz,0.15,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.2,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1072.nii.gz,0.5,2,0,1,1.0,0.6666666666666666
Liver_Lesions_1073.nii.gz,0.15,5,1,0,0.8333333333333334,1.0
Liver_Lesions_1073.nii.gz,0.2,5,1,0,0.8333333333333334,1.0
Liver_Lesions_1073.nii.gz,0.5,4,2,1,0.6666666666666666,0.8
Liver_Lesions_1076.nii.gz,0.15,2,1,1,0.6666666666666666,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.2,2,1,1,0.6666666666666666,0.6666666666666666
Liver_Lesions_1076.nii.gz,0.5,2,1,1,0.6666666666666666,0.6666666666666666
Liver_Lesions_1087.nii.gz,0.15,8,4,14,0.6666666666666666,0.36363636363636365
Liver_Lesions_1087.nii.gz,0.2,7,5,15,0.5833333333333334,0.3181818181818182
Liver_Lesions_1087.nii.gz,0.5,7,5,15,0.5833333333333334,0.3181818181818182
Liver_Lesions_1092.nii.gz,0.15,3,1,0,0.75,1.0
Liver_Lesions_1092.nii.gz,0.2,3,1,0,0.75,1.0
Liver_Lesions_1092.nii.gz,0.5,3,1,0,0.75,1.0
Liver_Lesions_1100.nii.gz,0.15,1,2,2,0.3333333333333333,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.2,1,2,2,0.3333333333333333,0.3333333333333333
Liver_Lesions_1100.nii.gz,0.5,0,3,3,0.0,0.0
Liver_Lesions_1101.nii.gz,0.15,15,2,4,0.8823529411764706,0.7894736842105263
Liver_Lesions_1101.nii.gz,0.2,15,2,4,0.8823529411764706,0.7894736842105263
Liver_Lesions_1101.nii.gz,0.5,13,4,6,0.7647058823529411,0.6842105263157895
Liver_Lesions_1104.nii.gz,0.15,3,1,1,0.75,0.75
Liver_Lesions_1104.nii.gz,0.2,3,1,1,0.75,0.75
Liver_Lesions_1104.nii.gz,0.5,2,2,2,0.5,0.5
Liver_Lesions_1111.nii.gz,0.15,2,0,0,1.0,1.0
Liver_Lesions_1111.nii.gz,0.2,2,0,0,1.0,1.0
Liver_Lesions_1111.nii.gz,0.5,1,1,1,0.5,0.5
Liver_Lesions_1115.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1115.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1127.nii.gz,0.15,0,2,0,0.0,
Liver_Lesions_1127.nii.gz,0.2,0,2,0,0.0,
Liver_Lesions_1127.nii.gz,0.5,0,2,0,0.0,
Liver_Lesions_1131.nii.gz,0.15,5,2,2,0.7142857142857143,0.7142857142857143
Liver_Lesions_1131.nii.gz,0.2,5,2,2,0.7142857142857143,0.7142857142857143
Liver_Lesions_1131.nii.gz,0.5,5,2,2,0.7142857142857143,0.7142857142857143
Liver_Lesions_1136.nii.gz,0.15,17,0,0,1.0,1.0
Liver_Lesions_1136.nii.gz,0.2,17,0,0,1.0,1.0
Liver_Lesions_1136.nii.gz,0.5,16,1,1,0.9411764705882353,0.9411764705882353
Liver_Lesions_1137.nii.gz,0.15,0,3,1,0.0,0.0
Liver_Lesions_1137.nii.gz,0.2,0,3,1,0.0,0.0
Liver_Lesions_1137.nii.gz,0.5,0,3,1,0.0,0.0
Liver_Lesions_1147.nii.gz,0.15,4,1,1,0.8,0.8
Liver_Lesions_1147.nii.gz,0.2,4,1,1,0.8,0.8
Liver_Lesions_1147.nii.gz,0.5,3,2,2,0.6,0.6
Liver_Lesions_1148.nii.gz,0.15,2,5,1,0.2857142857142857,0.6666666666666666
Liver_Lesions_1148.nii.gz,0.2,2,5,1,0.2857142857142857,0.6666666666666666
Liver_Lesions_1148.nii.gz,0.5,2,5,1,0.2857142857142857,0.6666666666666666
Liver_Lesions_1149.nii.gz,0.15,2,5,4,0.2857142857142857,0.3333333333333333
Liver_Lesions_1149.nii.gz,0.2,2,5,4,0.2857142857142857,0.3333333333333333
Liver_Lesions_1149.nii.gz,0.5,2,5,4,0.2857142857142857,0.3333333333333333
Liver_Lesions_1150.nii.gz,0.15,0,1,0,0.0,
Liver_Lesions_1150.nii.gz,0.2,0,1,0,0.0,
Liver_Lesions_1150.nii.gz,0.5,0,1,0,0.0,
Liver_Lesions_1151.nii.gz,0.15,1,0,1,1.0,0.5
Liver_Lesions_1151.nii.gz,0.2,1,0,1,1.0,0.5
Liver_Lesions_1151.nii.gz,0.5,1,0,1,1.0,0.5
Liver_Lesions_1153.nii.gz,0.15,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1153.nii.gz,0.2,2,1,0,0.6666666666666666,1.0
Liver_Lesions_1153.nii.gz,0.5,1,2,1,0.3333333333333333,0.5
Liver_Lesions_1154.nii.gz,0.15,3,0,1,1.0,0.75
Liver_Lesions_1154.nii.gz,0.2,3,0,1,1.0,0.75
Liver_Lesions_1154.nii.gz,0.5,1,2,3,0.3333333333333333,0.25
Liver_Lesions_1162.nii.gz,0.15,33,33,20,0.5,0.6226415094339622
Liver_Lesions_1162.nii.gz,0.2,31,35,22,0.4696969696969697,0.5849056603773585
Liver_Lesions_1162.nii.gz,0.5,27,39,26,0.4090909090909091,0.5094339622641509
Liver_Lesions_1164.nii.gz,0.15,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1164.nii.gz,0.2,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1164.nii.gz,0.5,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1178.nii.gz,0.15,1,3,0,0.25,1.0
Liver_Lesions_1178.nii.gz,0.2,1,3,0,0.25,1.0
Liver_Lesions_1178.nii.gz,0.5,1,3,0,0.25,1.0
Liver_Lesions_1180.nii.gz,0.15,12,6,7,0.6666666666666666,0.631578947368421
Liver_Lesions_1180.nii.gz,0.2,12,6,7,0.6666666666666666,0.631578947368421
Liver_Lesions_1180.nii.gz,0.5,10,8,9,0.5555555555555556,0.5263157894736842
Liver_Lesions_1187.nii.gz,0.15,1,1,0,0.5,1.0
Liver_Lesions_1187.nii.gz,0.2,1,1,0,0.5,1.0
Liver_Lesions_1187.nii.gz,0.5,1,1,0,0.5,1.0
Liver_Lesions_1188.nii.gz,0.15,37,3,2,0.925,0.9487179487179487
Liver_Lesions_1188.nii.gz,0.2,37,3,2,0.925,0.9487179487179487
Liver_Lesions_1188.nii.gz,0.5,36,4,3,0.9,0.9230769230769231
Liver_Lesions_1190.nii.gz,0.15,5,2,1,0.7142857142857143,0.8333333333333334
Liver_Lesions_1190.nii.gz,0.2,5,2,1,0.7142857142857143,0.8333333333333334
Liver_Lesions_1190.nii.gz,0.5,5,2,1,0.7142857142857143,0.8333333333333334
Liver_Lesions_1193.nii.gz,0.15,8,2,1,0.8,0.8888888888888888
Liver_Lesions_1193.nii.gz,0.2,8,2,1,0.8,0.8888888888888888
Liver_Lesions_1193.nii.gz,0.5,6,4,3,0.6,0.6666666666666666
Liver_Lesions_1198.nii.gz,0.15,1,3,0,0.25,1.0
Liver_Lesions_1198.nii.gz,0.2,1,3,0,0.25,1.0
Liver_Lesions_1198.nii.gz,0.5,1,3,0,0.25,1.0
Liver_Lesions_1201.nii.gz,0.15,9,3,4,0.75,0.6923076923076923
Liver_Lesions_1201.nii.gz,0.2,9,3,4,0.75,0.6923076923076923
Liver_Lesions_1201.nii.gz,0.5,9,3,4,0.75,0.6923076923076923
Liver_Lesions_1206.nii.gz,0.15,1,1,0,0.5,1.0
Liver_Lesions_1206.nii.gz,0.2,1,1,0,0.5,1.0
Liver_Lesions_1206.nii.gz,0.5,1,1,0,0.5,1.0
Liver_Lesions_1207.nii.gz,0.15,2,1,3,0.6666666666666666,0.4
Liver_Lesions_1207.nii.gz,0.2,2,1,3,0.6666666666666666,0.4
Liver_Lesions_1207.nii.gz,0.5,2,1,3,0.6666666666666666,0.4
Liver_Lesions_1208.nii.gz,0.15,2,0,0,1.0,1.0
Liver_Lesions_1208.nii.gz,0.2,2,0,0,1.0,1.0
Liver_Lesions_1208.nii.gz,0.5,2,0,0,1.0,1.0
Liver_Lesions_1219.nii.gz,0.15,12,0,0,1.0,1.0
Liver_Lesions_1219.nii.gz,0.2,12,0,0,1.0,1.0
Liver_Lesions_1219.nii.gz,0.5,12,0,0,1.0,1.0
Liver_Lesions_1220.nii.gz,0.15,5,0,0,1.0,1.0
Liver_Lesions_1220.nii.gz,0.2,5,0,0,1.0,1.0
Liver_Lesions_1220.nii.gz,0.5,5,0,0,1.0,1.0
Liver_Lesions_1221.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1221.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1221.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1227.nii.gz,0.15,7,2,0,0.7777777777777778,1.0
Liver_Lesions_1227.nii.gz,0.2,7,2,0,0.7777777777777778,1.0
Liver_Lesions_1227.nii.gz,0.5,4,5,3,0.4444444444444444,0.5714285714285714
Liver_Lesions_1229.nii.gz,0.15,7,0,2,1.0,0.7777777777777778
Liver_Lesions_1229.nii.gz,0.2,7,0,2,1.0,0.7777777777777778
Liver_Lesions_1229.nii.gz,0.5,7,0,2,1.0,0.7777777777777778
Liver_Lesions_1238.nii.gz,0.15,4,3,0,0.5714285714285714,1.0
Liver_Lesions_1238.nii.gz,0.2,4,3,0,0.5714285714285714,1.0
Liver_Lesions_1238.nii.gz,0.5,4,3,0,0.5714285714285714,1.0
Liver_Lesions_1260.nii.gz,0.15,6,2,4,0.75,0.6
Liver_Lesions_1260.nii.gz,0.2,6,2,4,0.75,0.6
Liver_Lesions_1260.nii.gz,0.5,5,3,5,0.625,0.5
Liver_Lesions_1262.nii.gz,0.15,8,3,3,0.7272727272727273,0.7272727272727273
Liver_Lesions_1262.nii.gz,0.2,8,3,3,0.7272727272727273,0.7272727272727273
Liver_Lesions_1262.nii.gz,0.5,7,4,4,0.6363636363636364,0.6363636363636364
Liver_Lesions_1264.nii.gz,0.15,2,0,0,1.0,1.0
Liver_Lesions_1264.nii.gz,0.2,2,0,0,1.0,1.0
Liver_Lesions_1264.nii.gz,0.5,0,2,2,0.0,0.0
Liver_Lesions_1266.nii.gz,0.15,4,0,1,1.0,0.8
Liver_Lesions_1266.nii.gz,0.2,4,0,1,1.0,0.8
Liver_Lesions_1266.nii.gz,0.5,3,1,2,0.75,0.6
Liver_Lesions_1268.nii.gz,0.15,0,1,1,0.0,0.0
Liver_Lesions_1268.nii.gz,0.2,0,1,1,0.0,0.0
Liver_Lesions_1268.nii.gz,0.5,0,1,1,0.0,0.0
Liver_Lesions_1277.nii.gz,0.15,22,4,9,0.8461538461538461,0.7096774193548387
Liver_Lesions_1277.nii.gz,0.2,22,4,9,0.8461538461538461,0.7096774193548387
Liver_Lesions_1277.nii.gz,0.5,19,7,12,0.7307692307692307,0.6129032258064516
Liver_Lesions_1281.nii.gz,0.15,5,0,4,1.0,0.5555555555555556
Liver_Lesions_1281.nii.gz,0.2,5,0,4,1.0,0.5555555555555556
Liver_Lesions_1281.nii.gz,0.5,4,1,5,0.8,0.4444444444444444
Liver_Lesions_1282.nii.gz,0.15,1,1,0,0.5,1.0
Liver_Lesions_1282.nii.gz,0.2,1,1,0,0.5,1.0
Liver_Lesions_1282.nii.gz,0.5,1,1,0,0.5,1.0
Liver_Lesions_1283.nii.gz,0.15,0,0,0,,
Liver_Lesions_1283.nii.gz,0.2,0,0,0,,
Liver_Lesions_1283.nii.gz,0.5,0,0,0,,
Liver_Lesions_1284.nii.gz,0.15,2,3,1,0.4,0.6666666666666666
Liver_Lesions_1284.nii.gz,0.2,2,3,1,0.4,0.6666666666666666
Liver_Lesions_1284.nii.gz,0.5,1,4,2,0.2,0.3333333333333333
Liver_Lesions_1294.nii.gz,0.15,9,3,1,0.75,0.9
Liver_Lesions_1294.nii.gz,0.2,9,3,1,0.75,0.9
Liver_Lesions_1294.nii.gz,0.5,8,4,2,0.6666666666666666,0.8
Liver_Lesions_1298.nii.gz,0.15,7,0,2,1.0,0.7777777777777778
Liver_Lesions_1298.nii.gz,0.2,6,1,3,0.8571428571428571,0.6666666666666666
Liver_Lesions_1298.nii.gz,0.5,6,1,3,0.8571428571428571,0.6666666666666666
Liver_Lesions_1302.nii.gz,0.15,5,0,0,1.0,1.0
Liver_Lesions_1302.nii.gz,0.2,5,0,0,1.0,1.0
Liver_Lesions_1302.nii.gz,0.5,5,0,0,1.0,1.0
Liver_Lesions_1311.nii.gz,0.15,3,4,0,0.42857142857142855,1.0
Liver_Lesions_1311.nii.gz,0.2,3,4,0,0.42857142857142855,1.0
Liver_Lesions_1311.nii.gz,0.5,3,4,0,0.42857142857142855,1.0
Liver_Lesions_1314.nii.gz,0.15,5,4,0,0.5555555555555556,1.0
Liver_Lesions_1314.nii.gz,0.2,5,4,0,0.5555555555555556,1.0
Liver_Lesions_1314.nii.gz,0.5,5,4,0,0.5555555555555556,1.0
Liver_Lesions_1317.nii.gz,0.15,3,0,2,1.0,0.6
Liver_Lesions_1317.nii.gz,0.2,3,0,2,1.0,0.6
Liver_Lesions_1317.nii.gz,0.5,3,0,2,1.0,0.6
Liver_Lesions_1324.nii.gz,0.15,3,3,1,0.5,0.75
Liver_Lesions_1324.nii.gz,0.2,3,3,1,0.5,0.75
Liver_Lesions_1324.nii.gz,0.5,3,3,1,0.5,0.75
Liver_Lesions_1328.nii.gz,0.15,0,2,1,0.0,0.0
Liver_Lesions_1328.nii.gz,0.2,0,2,1,0.0,0.0
Liver_Lesions_1328.nii.gz,0.5,0,2,1,0.0,0.0
Liver_Lesions_1331.nii.gz,0.15,5,2,2,0.7142857142857143,0.7142857142857143
Liver_Lesions_1331.nii.gz,0.2,5,2,2,0.7142857142857143,0.7142857142857143
Liver_Lesions_1331.nii.gz,0.5,5,2,2,0.7142857142857143,0.7142857142857143
Liver_Lesions_1335.nii.gz,0.15,4,2,11,0.6666666666666666,0.26666666666666666
Liver_Lesions_1335.nii.gz,0.2,4,2,11,0.6666666666666666,0.26666666666666666
Liver_Lesions_1335.nii.gz,0.5,4,2,11,0.6666666666666666,0.26666666666666666
Liver_Lesions_1338.nii.gz,0.15,5,5,7,0.5,0.4166666666666667
Liver_Lesions_1338.nii.gz,0.2,5,5,7,0.5,0.4166666666666667
Liver_Lesions_1338.nii.gz,0.5,5,5,7,0.5,0.4166666666666667
Liver_Lesions_1347.nii.gz,0.15,6,3,3,0.6666666666666666,0.6666666666666666
Liver_Lesions_1347.nii.gz,0.2,6,3,3,0.6666666666666666,0.6666666666666666
Liver_Lesions_1347.nii.gz,0.5,6,3,3,0.6666666666666666,0.6666666666666666
Liver_Lesions_1357.nii.gz,0.15,6,0,0,1.0,1.0
Liver_Lesions_1357.nii.gz,0.2,6,0,0,1.0,1.0
Liver_Lesions_1357.nii.gz,0.5,6,0,0,1.0,1.0
Liver_Lesions_1361.nii.gz,0.15,12,4,1,0.75,0.9230769230769231
Liver_Lesions_1361.nii.gz,0.2,12,4,1,0.75,0.9230769230769231
Liver_Lesions_1361.nii.gz,0.5,11,5,2,0.6875,0.8461538461538461
