case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1014.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1014.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1014.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1026.nii.gz,0.15,0,0,1,,0.0
Liver_Lesions_1026.nii.gz,0.2,0,0,1,,0.0
Liver_Lesions_1026.nii.gz,0.5,0,0,1,,0.0
Liver_Lesions_1035.nii.gz,0.15,7,15,15,0.3181818181818182,0.3181818181818182
Liver_Lesions_1035.nii.gz,0.2,6,16,16,0.2727272727272727,0.2727272727272727
Liver_Lesions_1035.nii.gz,0.5,2,20,20,0.09090909090909091,0.09090909090909091
Liver_Lesions_1037.nii.gz,0.15,10,2,3,0.8333333333333334,0.7692307692307693
Liver_Lesions_1037.nii.gz,0.2,10,2,3,0.8333333333333334,0.7692307692307693
Liver_Lesions_1037.nii.gz,0.5,8,4,5,0.6666666666666666,0.6153846153846154
Liver_Lesions_1051.nii.gz,0.15,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1051.nii.gz,0.2,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1051.nii.gz,0.5,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1053.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1053.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1053.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1054.nii.gz,0.15,33,8,6,0.8048780487804879,0.8461538461538461
Liver_Lesions_1054.nii.gz,0.2,33,8,6,0.8048780487804879,0.8461538461538461
Liver_Lesions_1054.nii.gz,0.5,32,9,7,0.7804878048780488,0.8205128205128205
Liver_Lesions_1060.nii.gz,0.15,3,3,0,0.5,1.0
Liver_Lesions_1060.nii.gz,0.2,3,3,0,0.5,1.0
Liver_Lesions_1060.nii.gz,0.5,3,3,0,0.5,1.0
Liver_Lesions_1063.nii.gz,0.15,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1063.nii.gz,0.2,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1063.nii.gz,0.5,1,2,0,0.3333333333333333,1.0
Liver_Lesions_1075.nii.gz,0.15,47,47,39,0.5,0.5465116279069767
Liver_Lesions_1075.nii.gz,0.2,45,49,41,0.4787234042553192,0.5232558139534884
Liver_Lesions_1075.nii.gz,0.5,35,59,51,0.3723404255319149,0.4069767441860465
Liver_Lesions_1095.nii.gz,0.15,12,7,13,0.631578947368421,0.48
Liver_Lesions_1095.nii.gz,0.2,12,7,13,0.631578947368421,0.48
Liver_Lesions_1095.nii.gz,0.5,9,10,16,0.47368421052631576,0.36
Liver_Lesions_1099.nii.gz,0.15,5,2,3,0.7142857142857143,0.625
Liver_Lesions_1099.nii.gz,0.2,5,2,3,0.7142857142857143,0.625
Liver_Lesions_1099.nii.gz,0.5,5,2,3,0.7142857142857143,0.625
Liver_Lesions_1103.nii.gz,0.15,2,3,2,0.4,0.5
Liver_Lesions_1103.nii.gz,0.2,2,3,2,0.4,0.5
Liver_Lesions_1103.nii.gz,0.5,2,3,2,0.4,0.5
Liver_Lesions_1106.nii.gz,0.15,17,2,3,0.8947368421052632,0.85
Liver_Lesions_1106.nii.gz,0.2,16,3,4,0.8421052631578947,0.8
Liver_Lesions_1106.nii.gz,0.5,16,3,4,0.8421052631578947,0.8
Liver_Lesions_1109.nii.gz,0.15,8,2,3,0.8,0.7272727272727273
Liver_Lesions_1109.nii.gz,0.2,8,2,3,0.8,0.7272727272727273
Liver_Lesions_1109.nii.gz,0.5,7,3,4,0.7,0.6363636363636364
Liver_Lesions_1117.nii.gz,0.15,1,1,0,0.5,1.0
Liver_Lesions_1117.nii.gz,0.2,1,1,0,0.5,1.0
Liver_Lesions_1117.nii.gz,0.5,0,2,1,0.0,0.0
Liver_Lesions_1119.nii.gz,0.15,3,1,1,0.75,0.75
Liver_Lesions_1119.nii.gz,0.2,3,1,1,0.75,0.75
Liver_Lesions_1119.nii.gz,0.5,3,1,1,0.75,0.75
Liver_Lesions_1124.nii.gz,0.15,6,1,0,0.8571428571428571,1.0
Liver_Lesions_1124.nii.gz,0.2,6,1,0,0.8571428571428571,1.0
