case,iou_threshold,TP,FP,FN,precision,detectability
Liver_Lesions_1014.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1014.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1014.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1026.nii.gz,0.15,0,0,1,,0.0
Liver_Lesions_1026.nii.gz,0.2,0,0,1,,0.0
Liver_Lesions_1026.nii.gz,0.5,0,0,1,,0.0
Liver_Lesions_1035.nii.gz,0.15,3,20,19,0.13043478260869565,0.13636363636363635
Liver_Lesions_1035.nii.gz,0.2,3,20,19,0.13043478260869565,0.13636363636363635
Liver_Lesions_1035.nii.gz,0.5,0,23,22,0.0,0.0
Liver_Lesions_1037.nii.gz,0.15,9,2,4,0.8181818181818182,0.6923076923076923
Liver_Lesions_1037.nii.gz,0.2,9,2,4,0.8181818181818182,0.6923076923076923
Liver_Lesions_1037.nii.gz,0.5,6,5,7,0.5454545454545454,0.46153846153846156
Liver_Lesions_1051.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1051.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1051.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1053.nii.gz,0.15,1,0,0,1.0,1.0
Liver_Lesions_1053.nii.gz,0.2,1,0,0,1.0,1.0
Liver_Lesions_1053.nii.gz,0.5,1,0,0,1.0,1.0
Liver_Lesions_1054.nii.gz,0.15,33,9,6,0.7857142857142857,0.8461538461538461
Liver_Lesions_1054.nii.gz,0.2,31,11,8,0.7380952380952381,0.7948717948717948
Liver_Lesions_1054.nii.gz,0.5,28,14,11,0.6666666666666666,0.717948717948718
Liver_Lesions_1060.nii.gz,0.15,3,4,0,0.42857142857142855,1.0
Liver_Lesions_1060.nii.gz,0.2,3,4,0,0.42857142857142855,1.0
Liver_Lesions_1060.nii.gz,0.5,1,6,2,0.14285714285714285,0.3333333333333333
Liver_Lesions_1063.nii.gz,0.15,1,1,0,0.5,1.0
Liver_Lesions_1063.nii.gz,0.2,1,1,0,0.5,1.0
Liver_Lesions_1063.nii.gz,0.5,1,1,0,0.5,1.0
Liver_Lesions_1075.nii.gz,0.15,46,61,40,0.42990654205607476,0.5348837209302325
Liver_Lesions_1075.nii.gz,0.2,43,64,43,0.40186915887850466,0.5
Liver_Lesions_1075.nii.gz,0.5,32,75,54,0.29906542056074764,0.37209302325581395
Liver_Lesions_1095.nii.gz,0.15,10,9,15,0.5263157894736842,0.4
Liver_Lesions_1095.nii.gz,0.2,10,9,15,0.5263157894736842,0.4
Liver_Lesions_1095.nii.gz,0.5,8,11,17,0.42105263157894735,0.32
Liver_Lesions_1099.nii.gz,0.15,5,2,3,0.7142857142857143,0.625
Liver_Lesions_1099.nii.gz,0.2,5,2,3,0.7142857142857143,0.625
Liver_Lesions_1099.nii.gz,0.5,5,2,3,0.7142857142857143,0.625
Liver_Lesions_1103.nii.gz,0.15,2,2,2,0.5,0.5
Liver_Lesions_1103.nii.gz,0.2,2,2,2,0.5,0.5
Liver_Lesions_1103.nii.gz,0.5,1,3,3,0.25,0.25
Liver_Lesions_1106.nii.gz,0.15,17,1,3,0.9444444444444444,0.85
Liver_Lesions_1106.nii.gz,0.2,17,1,3,0.9444444444444444,0.85
Liver_Lesions_1106.nii.gz,0.5,15,3,5,0.8333333333333334,0.75
Liver_Lesions_1109.nii.gz,0.15,8,2,3,0.8,0.7272727272727273
Liver_Lesions_1109.nii.gz,0.2,8,2,3,0.8,0.7272727272727273
Liver_Lesions_1109.nii.gz,0.5,7,3,4,0.7,0.6363636363636364
Liver_Lesions_1117.nii.gz,0.15,0,2,1,0.0,0.0
Liver_Lesions_1117.nii.gz,0.2,0,2,1,0.0,0.0
Liver_Lesions_1117.nii.gz,0.5,0,2,1,0.0,0.0
Liver_Lesions_1119.nii.gz,0.15,3,2,1,0.6,0.75
Liver_Lesions_1119.nii.gz,0.2,3,2,1,0.6,0.75
Liver_Lesions_1119.nii.gz,0.5,3,2,1,0.6,0.75
Liver_Lesions_1124.nii.gz,0.15,6,1,0,0.8571428571428571,1.0
Liver_Lesions_1124.nii.gz,0.2,6,1,0,0.8571428571428571,1.0
